Skill Name,Power,Pokemon Count,Pokemon Names
SOLAR BEAM,125,15,"Aviatos; Dropkola; Dropkolyx; Elvee; Elveelynx; Fenecorn; Flianys; Fligoss; Flowingo; Flowmingona; Gomingo; Kikflick; Platagon; Platypad; Quacko"
DARK BREATH,110,8,"Daimonera; Daimoryx; Infinissy; Mystrix; Psyking; Psython; Shadowl; Torney"
DIAMOND BEAM,110,11,"Daimonera; Daimoryx; Elydjin; Hydragon; Lampion; Rabbityx; Rhinodys; Surfant; Una; Unarodin; Unexus"
DARK BEAM,100,9,"Mystrix; Shadowl; Torney; Una; Unarodin; Unexus; Vampix; Vampixard; Vampyzor"
DIAMOND SKY,100,3,"Elydjin; Rabbityx; Rhinodys"
GOLDEN BEAM,100,0,
HELLFIRE,100,8,"Armadigo; Armadrillo; Baniblaze; Hopchop; Lapinaf; Scarnyx; Scorchite; Torchip"
ION BEAM,100,9,"Blitzeer; Blitzle; Boltage; Buzelle; Humbrine; Humbroxa; Humzee; Tazer; Thundeer"
RAINBOW BEAM,100,4,"Elvee; Elveelynx; Elydjin; Fenecorn"
SPIRIT FORCE,100,6,"Aracatyx; Aracnoyd; Infinissy; Psyking; Psython; Spidread"
Water blast,100,16,"Aquadux; Daimonera; Daimoryx; Duxedo; Duxnite; Empengon; Hydragon; Hydraphant; Lampion; Nootnoot; Pengoo; Slail; Sluglug; Snorkoth; Snorky; Surfant"
AVALANCHE,90,0,
DARK BLAST,90,3,"Una; Unarodin; Unexus"
ICE BREATH,90,8,"Empengon; Hydraphant; Nootnoot; Pengoo; Slail; Sluglug; Snorkoth; Snorky"
THUNDER BLAST,90,11,"Blitzeer; Blitzle; Bobolt; Boltage; Buzelle; Humbrine; Humbroxa; Humzee; Jojolt; Tazer; Thundeer"
WATER GEYSER,90,12,"Aquadux; Duxedo; Duxnite; Empengon; Hydraphant; Hydron; Hydroza; Nootnoot; Pengoo; Snorkoth; Snorky; Tentapod"
DIRECT HIT,85,0,
RAPID FIRE,85,0,
SPIRIT TORNADO,85,9,"Infinissy; Mystrix; Psyking; Psython; Shadowl; Torney; Vampix; Vampixard; Vampyzor"
ULTRA BLAST,85,3,"Infinissy; Psyking; Psython"
VOLCANO,85,8,"Baniblaze; Daimonera; Daimoryx; Hopchop; Hydragon; Lampion; Lapinaf; Surfant"
Bite of Death,80,0,
DIAMOND BOMS,80,6,"Elydjin; Rabbityx; Rhinodys; Una; Unarodin; Unexus"
Hurricane,80,27,"Aviatos; Beebot; Cybeenyx; Cybuzz; Daimonera; Daimoryx; Empengon; Flianys; Fligoss; Flowingo; Flowmingona; Gomingo; Humbrine; Humbroxa; Humzee; Hydragon; Infinissy; Lampion; Mystrix; Nootnoot; Pengoo; Psyking; Psython; Rabbityx; Shadowl; Surfant; Torney"
INFERNO,80,0,
MAGMA ROCK,80,11,"Baniblaze; Fierodor; Hopchop; Lapinaf; Menza; Pangrill; Pyropine; Scarnyx; Scorchite; Spyropine; Torchip"
RHINO FORCE,80,4,"Rhinodys; Una; Unarodin; Unexus"
ROCK SMASH,80,6,"Dropkola; Dropkolyx; Kikflick; Una; Unarodin; Unexus"
SKULL BEAM,80,0,
SPIRIT BOMB,80,3,"Mystrix; Shadowl; Torney"
SHADOW SLASH,75,9,"Aracatyx; Aracnoyd; Mystrix; Shadowl; Spidread; Torney; Vampix; Vampixard; Vampyzor"
Ancient Visit,70,0,
ELECTRIC HURRICANE,70,3,"Beebot; Cybeenyx; Cybuzz"
FLASH,70,21,"Armadigo; Armadrillo; Bobolt; Daimonera; Daimoryx; Hydragon; Hydraphant; Infinissy; Jojolt; Lampion; Psyking; Psython; Pyropine; Rabbityx; Snorkoth; Snorky; Spyropine; Surfant; Vampix; Vampixard; Vampyzor"
HAUNT,70,12,"Aracatyx; Aracnoyd; Infinissy; Psyking; Psython; Spidread; Una; Unarodin; Unexus; Vampix; Vampixard; Vampyzor"
ICE CRUSHER,70,3,"Aquadux; Duxedo; Duxnite"
ICE TRIDENT,70,5,"Hydron; Hydroza; Slail; Sluglug; Tentapod"
ICEBERG,70,0,
SONIC SOCK,70,31,"Aquadux; Blitzle; Boltage; Daimonera; Daimoryx; Dropkola; Dropkolyx; Duxedo; Duxnite; Elydjin; Humbrine; Humbroxa; Humzee; Hydragon; Hydron; Hydroza; Kikflick; Lampion; Mystrix; Platagon; Platypad; Quacko; Rhinodys; Shadowl; Surfant; Tazer; Tentapod; Torney; Vampix; Vampixard; Vampyzor"
STATIC SOCK,70,5,"Blitzeer; Bobolt; Buzelle; Jojolt; Thundeer"
TERROR SCREAM,70,0,
DEATH CLAW,65,3,"Aracatyx; Aracnoyd; Spidread"
FLAME SWIRL,65,10,"Armadigo; Armadrillo; Baniblaze; Hopchop; Lapinaf; Pyropine; Spyropine; Vampix; Vampixard; Vampyzor"
GOLDEN SWORD,65,0,
Bite,60,24,"Aviatos; Blitzeer; Blitzle; Boltage; Buzelle; Elvee; Elveelynx; Fenecorn; Flianys; Fligoss; Flowingo; Flowmingona; Gomingo; Scarnyx; Scorchite; Tazer; Thundeer; Torchip; Una; Unarodin; Unexus; Vampix; Vampixard; Vampyzor"
Boulder earth,60,0,
BUBBLE BURST,60,15,"Aquadux; Duxedo; Duxnite; Empengon; Hydragon; Hydraphant; Hydron; Hydroza; Lampion; Nootnoot; Pengoo; Snorkoth; Snorky; Surfant; Tentapod"
ELECTRIC PUNCH,60,5,"Beebot; Bobolt; Cybeenyx; Cybuzz; Jojolt"
FURNACE,60,3,"Fierodor; Menza; Pangrill"
GOLDEN BITE,60,0,
GOLDEN SHOCKWAVE,60,0,
SHOCK WAVE,60,34,"Aracatyx; Aracnoyd; Aviatos; Baniblaze; Beebot; Cybeenyx; Cybuzz; Daimonera; Daimoryx; Empengon; Flianys; Fligoss; Hopchop; Humbrine; Humbroxa; Humzee; Hydragon; Hydraphant; Lampion; Lapinaf; Nootnoot; Pengoo; Platagon; Platypad; Quacko; Slail; Sluglug; Snorkoth; Snorky; Spidread; Surfant; Vampix; Vampixard; Vampyzor"
WINTER CHILLS,60,0,
POISION BITE,55,6,"Aracatyx; Aracnoyd; Infinissy; Psyking; Psython; Spidread"
Burning storm,50,5,"Fierodor; Menza; Pangrill; Pyropine; Spyropine"
DIAMOND SCRATCH,50,7,"Daimonera; Daimoryx; Hydragon; Lampion; Rabbityx; Rhinodys; Surfant"
DOUBLE BITE,50,6,"Aracatyx; Aracnoyd; Infinissy; Psyking; Psython; Spidread"
DOUBLE SHOCKWAVE,50,0,
EATING PLANT,50,13,"Aviatos; Dropkola; Dropkolyx; Elydjin; Flianys; Fligoss; Flowingo; Flowmingona; Gomingo; Kikflick; Platagon; Platypad; Quacko"
FROZEN MIST,50,3,"Empengon; Nootnoot; Pengoo"
SMOKE SCREEN,50,3,"Scarnyx; Scorchite; Torchip"
Scratch,45,35,"Armadigo; Armadrillo; Baniblaze; Blitzeer; Bobolt; Buzelle; Dropkola; Dropkolyx; Elvee; Elveelynx; Fenecorn; Fierodor; Flowingo; Flowmingona; Gomingo; Hopchop; Jojolt; Kikflick; Lapinaf; Menza; Mystrix; Pangrill; Platagon; Platypad; Pyropine; Quacko; Scarnyx; Scorchite; Shadowl; Slail; Sluglug; Spyropine; Thundeer; Torchip; Torney"
CHAOS CLAW,40,3,"Aracatyx; Aracnoyd; Spidread"
DIAMOND BITE,40,7,"Daimonera; Daimoryx; Hydragon; Lampion; Rabbityx; Rhinodys; Surfant"
DOUBLE CLAW,40,0,
QUICK ATTACK,40,29,"Aracatyx; Aracnoyd; Armadigo; Armadrillo; Baniblaze; Beebot; Blitzeer; Buzelle; Cybeenyx; Cybuzz; Elvee; Elveelynx; Fenecorn; Hopchop; Hydron; Hydroza; Infinissy; Lapinaf; Psyking; Psython; Scarnyx; Scorchite; Spidread; Tentapod; Thundeer; Torchip; Una; Unarodin; Unexus"
DARK SHIELD,0,9,"Aracatyx; Aracnoyd; Mystrix; Shadowl; Spidread; Torney; Vampix; Vampixard; Vampyzor"
DIAMOND REVIVE,0,2,"Rabbityx; Rhinodys"
